"filename", "language", "Properties", "XML", "Markdown", "Shell Script", "Batch", "HTML", "Java", "JavaScript", "PostCSS", "Log", "comment", "blank", "total"
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\ProductController.java", "Java", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 8, 14, 101
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 3, 15, 107
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\WebController.java", "Java", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 16, 101
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\exception\GlobalExceptionHandler.java", "Java", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 1, 14, 78
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\model\Product.java", "Java", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 3, 22, 99
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\model\User.java", "Java", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 2, 22, 99
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\repository\ProductRepository.java", "Java", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 6, 20
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\repository\UserRepository.java", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, 16
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\CustomUserDetailsService.java", "Java", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 8, 42
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\LogService.java", "Java", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 25, 14, 119
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\ProductService.java", "Java", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 11, 25
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\ProductServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 17, 72
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 11, 24
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\UserServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 2, 17, 78
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\application.properties", "Properties", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 20
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\logback.xml", "XML", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 57
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\css\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 11, 43, 271
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\js\script.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 3, 36
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\admin\logs.html", "HTML", 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 10, 185
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\error.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\login.html", "HTML", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 9, 77
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\products\form.html", "HTML", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 7, 61
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\products\list.html", "HTML", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 4, 6, 87
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\users\form.html", "HTML", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 8, 76
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\users\list.html", "HTML", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 4, 73
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\CrudApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\controller\ProductControllerTest.java", "Java", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 12, 26, 128
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\service\UserServiceTest.java", "Java", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 22, 34, 169
"Total", "-", 15, 122, 391, 28, 33, 549, 1184, 29, 217, 1326, 124, 593, 4611
